City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
454,Maneadero,MX,31.7167,-116.5667,63.19,60,0,1.01,clear sky
455,Port Blair,IN,11.6667,92.75,80.38,74,61,12.1,broken clouds
456,Kompaniyivka,UA,48.2511,32.208,43.23,92,60,7.96,broken clouds
457,Floro,NO,61.5996,5.0328,40.96,56,90,17.27,overcast clouds
458,Lompoc,US,34.6391,-120.4579,63.57,68,1,8.05,clear sky
459,Finspang,SE,58.7058,15.7674,32.94,99,77,2.42,broken clouds
460,Yulara,AU,-25.2406,130.9889,76.84,25,17,3.44,few clouds
461,Anloga,GH,5.7947,0.8973,86.22,75,86,10.85,overcast clouds
462,General Roca,AR,-39.0333,-67.5833,81.0,16,72,29.04,broken clouds
463,Morgan City,US,29.6994,-91.2068,82.99,83,90,16.11,overcast clouds
464,Ravar,IR,31.2656,56.8055,51.57,34,0,3.58,clear sky
465,Inhambane,MZ,-23.865,35.3833,82.38,78,20,7.0,few clouds
466,Palmer,US,42.1584,-72.3287,58.14,100,90,0.0,mist
467,Port-Gentil,GA,-0.7193,8.7815,78.76,94,40,3.44,thunderstorm with light rain
468,Mosquera,CO,4.7059,-74.2302,62.69,72,75,8.05,broken clouds
469,Oron,NG,4.8256,8.2343,81.68,76,82,7.58,broken clouds
470,Ahipara,NZ,-35.1667,173.1667,67.6,97,100,6.2,light rain
471,Valdivia,CL,-39.8142,-73.2459,60.89,81,45,9.01,scattered clouds
472,Niquelandia,BR,-14.4739,-48.4597,80.01,79,99,4.18,overcast clouds
473,Senneterre,CA,48.3835,-77.2328,32.22,96,100,13.29,light snow
474,Port Hardy,CA,50.6996,-127.4199,39.76,87,75,8.05,shower sleet
475,Cam Ranh,VN,11.9214,109.1591,76.96,65,20,9.22,few clouds
476,Northam,GB,51.0333,-4.2167,54.48,97,100,15.55,overcast clouds
477,Koungou,YT,-12.7336,45.2042,80.31,78,0,3.44,clear sky
478,Namibe,AO,-15.1961,12.1522,71.82,76,75,6.55,broken clouds
479,Mareeba,AU,-17.0,145.4333,74.12,92,94,3.51,overcast clouds
480,Sakaiminato,JP,35.55,133.2333,49.98,93,75,5.75,broken clouds
481,Altea,ES,38.5989,-0.0514,64.69,71,1,2.44,clear sky
482,Cuamba,MZ,-14.8031,36.5372,80.19,29,10,5.01,clear sky
483,Nioro,GM,13.35,-15.75,91.99,21,100,1.05,overcast clouds
484,Airai,TL,-8.9266,125.4092,61.9,93,96,0.43,overcast clouds
485,Datong,CN,40.0936,113.2914,22.33,35,12,10.31,few clouds
486,Chama,CH,47.1821,8.4636,37.8,93,90,0.0,overcast clouds
487,Belmonte,BR,-15.8631,-38.8828,82.4,67,44,9.1,scattered clouds
488,Baie-Saint-Paul,CA,47.4411,-70.4986,37.38,96,100,3.27,snow
489,West Wendover,US,40.7391,-114.0733,20.41,73,75,3.44,broken clouds
490,Alyangula,AU,-13.8483,136.4192,71.47,100,27,2.3,scattered clouds
491,Methven,NZ,-43.6333,171.65,48.47,99,100,3.11,overcast clouds
492,Santo Tomas,PH,14.1079,121.1414,77.56,87,100,7.63,light rain
493,Tagusao,PH,9.1924,117.8141,80.02,84,100,7.36,light rain
494,Davila,PH,18.4726,120.5763,75.96,83,97,17.16,overcast clouds
495,Veinticinco De Mayo,AR,-35.4323,-60.1727,86.05,35,77,6.67,broken clouds
496,Tiarei,PF,-17.5333,-149.3333,82.42,75,27,11.74,light rain
497,Whitehorse,CA,60.7161,-135.0538,11.17,84,90,8.01,light snow
498,Jiuquan,CN,39.7432,98.5174,23.0,45,0,6.13,clear sky
