City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Morehead,37.2711,-87.1764,62.31,91,90,3.0,US,2021-12-10 18:07:08
136,Nargana,9.4428,-78.5906,82.71,75,19,15.79,PA,2021-12-10 18:07:08
137,Rojhan,28.6868,69.9534,62.74,27,7,1.88,PK,2021-12-10 18:08:08
138,Kingsland,30.8,-81.6898,80.73,77,59,4.12,US,2021-12-10 18:08:09
139,Altay,47.8667,88.1167,2.95,64,2,6.42,CN,2021-12-10 18:05:29
140,Villa Carlos Paz,-31.4241,-64.4978,69.24,50,59,8.12,AR,2021-12-10 18:08:09
141,Georgetown,5.4112,100.3354,79.9,87,20,1.01,MY,2021-12-10 18:08:09
142,Acapulco,16.8634,-99.8901,85.82,70,40,9.22,MX,2021-12-10 18:03:11
143,Yenagoa,4.9247,6.2642,82.33,67,80,8.08,NG,2021-12-10 18:08:10
144,Qasigiannguit,68.8193,-51.1922,7.7,68,50,7.14,GL,2021-12-10 18:08:10
145,Faanui,-16.4833,-151.75,81.25,69,70,14.58,PF,2021-12-10 18:08:11
146,Dikson,73.5069,80.5464,-23.15,90,98,4.38,RU,2021-12-10 18:08:11
147,Santa Luzia,-19.7697,-43.8514,86.9,45,26,5.88,BR,2021-12-10 18:08:11
148,Lebu,-37.6167,-73.65,62.28,74,37,9.71,CL,2021-12-10 18:08:12
149,Las Choapas,17.9333,-94.0833,78.85,78,34,4.52,MX,2021-12-10 18:05:31
150,Kulhudhuffushi,6.6221,73.07,82.29,77,25,9.6,MV,2021-12-10 18:08:12
151,La Ronge,55.1001,-105.2842,12.34,91,52,7.18,CA,2021-12-10 18:08:12
152,Roald,62.5833,6.1333,36.34,60,0,6.91,NO,2021-12-10 18:08:13
153,Anuradhapura,8.3565,80.4173,73.2,96,73,4.74,LK,2021-12-10 18:08:13
154,Hualmay,-11.0964,-77.6139,70.7,78,99,8.75,PE,2021-12-10 18:08:13
155,Vao,-22.6667,167.4833,78.12,84,96,18.21,NC,2021-12-10 18:08:14
156,Lagoa,39.05,-27.9833,63.45,77,12,13.4,PT,2021-12-10 18:08:14
157,Dzhebariki-Khaya,62.2167,135.8,-10.07,99,100,1.59,RU,2021-12-10 18:08:15
158,Nikolskoye,59.7035,30.7861,12.79,81,48,10.65,RU,2021-12-10 18:08:15
159,Aksarka,66.5606,67.7975,9.79,94,100,12.48,RU,2021-12-10 18:08:15
160,Barra Do Garcas,-15.89,-52.2567,87.33,56,82,3.11,BR,2021-12-10 18:08:16
161,Puri,19.8,85.85,72.12,77,0,6.87,IN,2021-12-10 18:08:16
162,Domoni,-12.2569,44.5319,79.12,81,51,6.53,KM,2021-12-10 18:08:17
163,Gorodishche,48.8045,44.4744,32.88,86,90,11.18,RU,2021-12-10 18:08:17
164,Bauchi,10.5,10.0,74.62,21,93,6.4,NG,2021-12-10 18:08:18
165,Dali,25.7,100.1833,49.5,89,20,4.54,CN,2021-12-10 18:08:18
166,Owosso,42.9978,-84.1766,46.72,81,1,3.0,US,2021-12-10 18:08:18
167,Rocha,-34.4833,-54.3333,76.68,44,76,13.71,UY,2021-12-10 18:08:19
168,Taoudenni,22.6783,-3.9836,70.39,19,98,9.6,ML,2021-12-10 18:08:19
169,Pyaozerskiy,65.8333,31.1667,12.72,86,100,7.47,RU,2021-12-10 18:08:19
170,Ibra,22.6906,58.5334,63.39,55,19,0.43,OM,2021-12-10 18:08:20
171,Taloqan,36.7361,69.5345,46.99,13,2,3.06,AF,2021-12-10 18:08:20
172,Mandalgovi,45.7625,106.2708,10.06,52,23,8.86,MN,2021-12-10 18:08:21
173,Emba,48.8264,58.1442,26.67,68,97,8.88,KZ,2021-12-10 18:08:21
174,Saquena,-4.6667,-73.5167,83.35,82,95,4.12,PE,2021-12-10 18:08:22
175,Kenora,49.8167,-94.4337,19.78,73,28,10.0,CA,2021-12-10 18:08:22
176,Hithadhoo,-0.6,73.0833,81.48,79,86,8.97,MV,2021-12-10 18:08:22
177,Mehamn,71.0357,27.8492,30.38,68,0,6.91,NO,2021-12-10 18:08:23
178,Villa Rica,33.7321,-84.9191,55.26,98,100,6.06,US,2021-12-10 18:08:23
179,Broken Hill,-31.95,141.4333,60.03,31,13,8.77,AU,2021-12-10 18:08:23
180,Kilemary,56.7783,46.8659,3.33,92,6,6.02,RU,2021-12-10 18:08:24
181,Saint-Philippe,-21.3585,55.7679,78.39,75,80,12.01,RE,2021-12-10 18:08:24
182,Nizhnyaya Omka,55.4338,74.9426,14.9,75,77,12.48,RU,2021-12-10 18:08:24
183,Atuona,-9.8,-139.0333,77.97,72,40,13.58,PF,2021-12-10 18:09:25
184,Ancud,-41.8697,-73.8203,70.43,64,59,9.95,CL,2021-12-10 18:09:25
185,Namatanai,-3.6667,152.4333,79.02,85,100,3.74,PG,2021-12-10 18:09:25
186,Port Hawkesbury,45.6169,-61.3485,29.91,76,69,4.0,CA,2021-12-10 18:09:26
187,Nome,64.5011,-165.4064,-13.95,91,64,7.38,US,2021-12-10 18:09:26
188,Lata,40.1629,-8.3327,55.92,97,91,5.68,PT,2021-12-10 18:09:26
189,Paracuru,-3.41,-39.0306,87.82,59,93,13.67,BR,2021-12-10 18:09:27
190,Vega De Alatorre,20.0333,-96.6333,83.17,65,4,12.08,MX,2021-12-10 18:09:27
191,Avarua,-21.2078,-159.775,77.05,94,94,1.14,CK,2021-12-10 18:09:27
192,Klaksvik,62.2266,-6.589,34.72,77,58,16.89,FO,2021-12-10 18:09:28
193,Pacific Grove,36.6177,-121.9166,53.71,75,1,3.0,US,2021-12-10 18:09:28
194,San Policarpo,12.1791,125.5072,79.86,88,100,11.9,PH,2021-12-10 18:09:28
195,Port Moresby,-9.4431,147.1797,76.32,86,100,3.49,PG,2021-12-10 18:09:29
196,Birao,10.2849,22.7882,77.54,20,30,6.11,CF,2021-12-10 18:09:29
197,Lasa,46.6166,10.7002,29.14,93,100,3.53,IT,2021-12-10 18:09:30
198,Hirara,24.8,125.2833,72.7,56,31,16.44,JP,2021-12-10 18:09:30
199,Karratha,-20.7377,116.8463,85.42,62,18,8.72,AU,2021-12-10 18:09:30
200,Luderitz,-26.6481,15.1594,63.75,83,0,13.58,NA,2021-12-10 18:09:31
201,Beringovskiy,63.05,179.3167,-16.33,96,52,7.47,RU,2021-12-10 18:09:31
202,Brae,60.3964,-1.353,42.71,88,100,5.93,GB,2021-12-10 18:09:31
203,Bardiyah,31.7561,25.0865,63.82,45,0,5.21,LY,2021-12-10 18:09:32
204,Ikalamavony,-21.15,46.5833,75.07,67,91,4.05,MG,2021-12-10 18:09:32
205,Portland,45.5234,-122.6762,43.99,92,90,1.99,US,2021-12-10 18:06:53
206,Alekseyevsk,57.8406,108.3492,3.43,93,100,7.27,RU,2021-12-10 18:09:33
207,Fortuna,40.5982,-124.1573,44.94,70,25,1.99,US,2021-12-10 18:09:33
208,Pansemal,21.65,74.7,73.26,49,3,4.14,IN,2021-12-10 18:09:33
209,Artesia,33.8658,-118.0831,62.15,66,1,1.01,US,2021-12-10 18:09:34
210,Belyy Yar,53.6039,91.3903,19.29,68,0,4.47,RU,2021-12-10 18:09:34
211,Taksimo,56.3444,114.8794,-5.66,92,100,0.78,RU,2021-12-10 18:09:34
212,Altus,34.6381,-99.334,80.11,27,1,11.01,US,2021-12-10 18:09:35
213,Tarko-Sale,64.9225,77.785,14.14,92,100,19.77,RU,2021-12-10 18:05:39
214,Auki,-8.7676,160.7034,78.42,89,99,4.88,SB,2021-12-10 18:09:35
215,Chokurdakh,70.6333,147.9167,-46.91,100,68,3.22,RU,2021-12-10 18:09:35
216,Coahuayana,18.7333,-103.6833,90.88,40,13,5.01,MX,2021-12-10 18:09:36
217,Hay River,60.8156,-115.7999,-4.04,77,90,2.3,CA,2021-12-10 18:09:36
218,Yellowknife,62.456,-114.3525,-5.71,96,74,1.25,CA,2021-12-10 18:09:37
219,Algarrobo,10.1869,-74.5753,92.86,43,78,4.7,CO,2021-12-10 18:09:37
220,Cleethorpes,53.5605,-0.0323,41.25,81,61,12.82,GB,2021-12-10 18:09:37
221,Bluefield,37.2698,-81.2223,59.76,82,90,4.61,US,2021-12-10 18:09:38
222,Quatre Cocos,-20.2078,57.7625,78.1,68,97,12.26,MU,2021-12-10 18:09:38
223,Port Lincoln,-34.7333,135.8667,56.57,81,76,12.26,AU,2021-12-10 18:09:38
